store_name,category,website,website_domain,promo_url,priority_score,discovered_via,captured_at
The Little Wooden Peg,clothes,https://thelittlewoodenpeg.com/,thelittlewoodenpeg.com,https://thelittlewoodenpeg.com/outlet,13,common_path,2026-02-14T09:46:14+00:00
New YorKi Nails,perfumes/beauty,https://newyorkinails.com/,newyorkinails.com,https://newyorkinails.com/sale,13,common_path,2026-02-14T09:46:21+00:00
New YorKi Nails,perfumes/beauty,https://newyorkinails.com/,newyorkinails.com,https://newyorkinails.com/sales,13,common_path,2026-02-14T09:46:21+00:00
New YorKi Nails,perfumes/beauty,https://newyorkinails.com/,newyorkinails.com,https://newyorkinails.com/offer,13,common_path,2026-02-14T09:46:21+00:00
New YorKi Nails,perfumes/beauty,https://newyorkinails.com/,newyorkinails.com,https://newyorkinails.com/promotion,13,common_path,2026-02-14T09:46:21+00:00
New YorKi Nails,perfumes/beauty,https://newyorkinails.com/,newyorkinails.com,https://newyorkinails.com/clearance,13,common_path,2026-02-14T09:46:21+00:00
New YorKi Nails,perfumes/beauty,https://newyorkinails.com/,newyorkinails.com,https://newyorkinails.com/deals,13,common_path,2026-02-14T09:46:21+00:00
New YorKi Nails,perfumes/beauty,https://newyorkinails.com/,newyorkinails.com,https://newyorkinails.com/weekly-ad,13,common_path,2026-02-14T09:46:21+00:00
New YorKi Nails,perfumes/beauty,https://newyorkinails.com/,newyorkinails.com,https://newyorkinails.com/weeklyad,13,common_path,2026-02-14T09:46:21+00:00
New YorKi Nails,perfumes/beauty,https://newyorkinails.com/,newyorkinails.com,https://newyorkinails.com/catalog,13,common_path,2026-02-14T09:46:21+00:00
New YorKi Nails,perfumes/beauty,https://newyorkinails.com/,newyorkinails.com,https://newyorkinails.com/leaflet,13,common_path,2026-02-14T09:46:21+00:00
New YorKi Nails,perfumes/beauty,https://newyorkinails.com/,newyorkinails.com,https://newyorkinails.com/outlet,13,common_path,2026-02-14T09:46:21+00:00
Lavish Nail Spa & Beauty,perfumes/beauty,https://lavishnails.ie/,lavishnails.ie,https://lavishnails.ie/sale,13,common_path,2026-02-14T09:46:28+00:00
Lavish Nail Spa & Beauty,perfumes/beauty,https://lavishnails.ie/,lavishnails.ie,https://lavishnails.ie/sales,13,common_path,2026-02-14T09:46:28+00:00
Lavish Nail Spa & Beauty,perfumes/beauty,https://lavishnails.ie/,lavishnails.ie,https://lavishnails.ie/offer,13,common_path,2026-02-14T09:46:28+00:00
Lavish Nail Spa & Beauty,perfumes/beauty,https://lavishnails.ie/,lavishnails.ie,https://lavishnails.ie/promotion,13,common_path,2026-02-14T09:46:28+00:00
Lavish Nail Spa & Beauty,perfumes/beauty,https://lavishnails.ie/,lavishnails.ie,https://lavishnails.ie/clearance,13,common_path,2026-02-14T09:46:28+00:00
Lavish Nail Spa & Beauty,perfumes/beauty,https://lavishnails.ie/,lavishnails.ie,https://lavishnails.ie/deals,13,common_path,2026-02-14T09:46:28+00:00
Lavish Nail Spa & Beauty,perfumes/beauty,https://lavishnails.ie/,lavishnails.ie,https://lavishnails.ie/weekly-ad,13,common_path,2026-02-14T09:46:28+00:00
Lavish Nail Spa & Beauty,perfumes/beauty,https://lavishnails.ie/,lavishnails.ie,https://lavishnails.ie/weeklyad,13,common_path,2026-02-14T09:46:28+00:00
Lavish Nail Spa & Beauty,perfumes/beauty,https://lavishnails.ie/,lavishnails.ie,https://lavishnails.ie/catalog,13,common_path,2026-02-14T09:46:28+00:00
Lavish Nail Spa & Beauty,perfumes/beauty,https://lavishnails.ie/,lavishnails.ie,https://lavishnails.ie/leaflet,13,common_path,2026-02-14T09:46:28+00:00
Lavish Nail Spa & Beauty,perfumes/beauty,https://lavishnails.ie/,lavishnails.ie,https://lavishnails.ie/outlet,13,common_path,2026-02-14T09:46:28+00:00
ASHA,clothes,https://www.stephensgreen.com/dublin-shops/asha/,www.stephensgreen.com,https://www.stephensgreen.com/dublin-shops/asha/sale,13,common_path,2026-02-14T09:46:39+00:00
