store_name,category,website,website_domain,promo_url,priority_score,discovered_via,captured_at
Rocks,jewellery,https://rocks.ie/,rocks.ie,https://rocks.ie/collections/jewellery-and-watches-sale-items/products/princess-cut-split-diamond-set-shoulders-engagement-ring-0-68ct,12,homepage_scan,2026-02-14T09:47:20+00:00
Rocks,jewellery,https://rocks.ie/,rocks.ie,https://rocks.ie/collections/jewellery-and-watches-sale-items/products/rocks-diamond-gemstone-floral-necklace,12,homepage_scan,2026-02-14T09:47:20+00:00
Rocks,jewellery,https://rocks.ie/,rocks.ie,https://rocks.ie/collections/black-friday-picks,12,homepage_scan,2026-02-14T09:47:20+00:00
Rocks,jewellery,https://rocks.ie/,rocks.ie,https://rocks.ie/collections/jewellery-and-watches-sale-items/products/oval-yellow-diamond-solitiatire-diamond-set-shoulders-1-16ct,12,homepage_scan,2026-02-14T09:47:20+00:00
SISU Clinic,perfumes/beauty,https://sisuclinic.com/sisu-clinic-ranelagh-dublin/,sisuclinic.com,https://www.sisuclinic.com/blogs/tech-driven-care-or-how-sisu-uses-smart-tech-to-make-every-patient-feel-special,11,sitemap,2026-02-14T09:45:45+00:00
SISU Clinic,perfumes/beauty,https://sisuclinic.com/sisu-clinic-ranelagh-dublin/,sisuclinic.com,https://www.sisuclinic.com/blogs/try-our-taylor-special-and-experience-the-ultimate-combo-of-botox-lip-filler-and-lip-flip,11,sitemap,2026-02-14T09:45:45+00:00
Diamant,jewellery,https://www.diamant.ie/,www.diamant.ie,https://www.diamant.ie/deal,5,common_path,2026-02-14T09:45:32+00:00
Diamant,jewellery,https://www.diamant.ie/,www.diamant.ie,https://www.diamant.ie/brochure,5,common_path,2026-02-14T09:45:32+00:00
Jack Wills,clothes,https://www.jackwills.com/dublinjw-store-2264,www.jackwills.com,https://www.jackwills.com/dublinjw-store-2264/deal,5,common_path,2026-02-14T09:45:35+00:00
Jack Wills,clothes,https://www.jackwills.com/dublinjw-store-2264,www.jackwills.com,https://www.jackwills.com/dublinjw-store-2264/brochure,5,common_path,2026-02-14T09:45:35+00:00
Weavers of Ireland,clothes,https://weaversofireland.com/,weaversofireland.com,https://weaversofireland.com/deal,5,common_path,2026-02-14T09:45:39+00:00
Weavers of Ireland,clothes,https://weaversofireland.com/,weaversofireland.com,https://weaversofireland.com/brochure,5,common_path,2026-02-14T09:45:39+00:00
SISU Clinic,perfumes/beauty,https://sisuclinic.com/sisu-clinic-ranelagh-dublin/,sisuclinic.com,https://sisuclinic.com/sisu-clinic-ranelagh-dublin/deal,5,common_path,2026-02-14T09:45:45+00:00
SISU Clinic,perfumes/beauty,https://sisuclinic.com/sisu-clinic-ranelagh-dublin/,sisuclinic.com,https://sisuclinic.com/sisu-clinic-ranelagh-dublin/brochure,5,common_path,2026-02-14T09:45:45+00:00
Sound Hire,gadgets/electronics,https://www.soundhire.ie/,www.soundhire.ie,https://www.soundhire.ie/deal,5,common_path,2026-02-14T09:45:50+00:00
Sound Hire,gadgets/electronics,https://www.soundhire.ie/,www.soundhire.ie,https://www.soundhire.ie/brochure,5,common_path,2026-02-14T09:45:50+00:00
Bridge Jewellers,jewellery,https://www.bridgejewellers.ie/,www.bridgejewellers.ie,https://www.bridgejewellers.ie/deal,5,common_path,2026-02-14T09:45:53+00:00
Bridge Jewellers,jewellery,https://www.bridgejewellers.ie/,www.bridgejewellers.ie,https://www.bridgejewellers.ie/brochure,5,common_path,2026-02-14T09:45:53+00:00
Castle Computers,gadgets/electronics,https://www.castlecomputers.ie/,www.castlecomputers.ie,https://www.castlecomputers.ie/deal,5,common_path,2026-02-14T09:46:10+00:00
